player1,player2,pair_elo,matches_together
Chassang D.,Crouch C.,5.913100547220373,2
Lee E.,Parks Z.,5.916958342672085,2
Narayanan S.,Shekar K.,6.076358619760372,2
Kheireddin B.,Turmel P.,5.900400074464121,2
Burl C.,Truong J.,5.941597531683767,2
Duong Q.,Young D.,6.120269143296711,2
Bacalla D.,Campbell C.,5.898424973351504,2
Cincola J.,Deakin S.,6.06093886526385,2
Burrows W.,Warnick J.,6.022309597361283,2
Cassidy R.,Jensen D.,6.051252133690858,2
McGuffin T.,Sock J.,5.901165877516955,2
Holder D.,Walker C.,5.83862030799913,2
Demeny S.,Stone J.,5.949904808738624,2
Anderson M.,Ouye A.,5.921939758494073,2
Alhouni M.,Whittaker R.,6.02204112842022,2
Brown M.,Dobran J.,6.029533400668012,2
Slutsky R.,Wasson L.,6.034455580222844,2
Bond G.,Querrey S.,6.011534498803775,2
Brown M.,Grollman J.,6.054665697309782,2
Burrows W.,Johnson H.,6.054392800204928,2
Cassidy R.,Fu R.,6.0078099160668685,2
Berke S.,Sigler D.,5.922026371221754,2
Dain T.,Holder D.,5.876877003659528,2
Larson B.,Lawhun A.,5.916588620726469,2
Gilbert R.,MacKinnon W.,5.8785680671308596,2
Barnett T.,Martin B.,5.88750868792062,2
Jauschneg E.,McCabe S.,5.914299778570854,2
Pututau J.,Stratton R.,5.881792909132325,2
Case C.,Wilson Q.,5.910224064884853,2
Johnston G.,Whittaker R.,5.887897943323807,2
Ferrer G.,Mendes V.,5.911413408614356,2
Alda M.,Beasley N.,5.882159830461026,2
Neumann A.,Shick C.,5.86344571638895,2
Blaszkewycz E.,Seward K.,5.9150967704368425,2
Bellamy R.,Cincola J.,6.058402274632306,2
Hunter J.,Khlif N.,6.00194594418343,2
