player1,player2,pair_elo,matches_together
Fought T.,Klinger C.,6.2286951681707,3
Legarreta A.,Montoya N.,6.0089649499681705,3
Kusmider J.,Scarpa A.,5.982936390514951,3
Bellamy R.,Fought T.,6.194630046877753,3
Keenum C.,Venkatesan M.,5.9745528051891785,3
Frazier D.,Johnson Y.,6.208996035616538,3
Deakin S.,Smith P.,6.066802630281456,3
Koszuta K.,Marsh J.,5.945996132472156,3
Garnett C.,Rettenmaier T.,6.183386022705752,3
Wilson T.,Wright M.,6.268936212683202,3
Duong Q.,Hovenier B.,6.117354926984739,3
Fu R.,Hovenier B.,5.976717185799856,2
Alshon C.,Ignatowich J.,6.272422409803207,2
Donkena A.,Morrow T.,6.038987497035786,2
Goldberg J.,Ignatowich J.,6.040212787994467,2
Alhouni M.,Scarpa A.,6.071873764964725,2
Arnold J.,Stone W.,6.088702428119781,2
Barrientos M.,Scarpa A.,6.035956641410295,2
Dayan K.,Kojima B.,6.1144654838071695,2
Alda M.,Beasley N.,5.881576691684702,2
Neumann A.,Shick C.,5.862478382072592,2
Blaszkewycz E.,Seward K.,5.916824015385955,2
Guidroz L.,Jansson A.,5.855127665088293,2
Enright M.,Guyer D.,5.90804256399662,2
Black N.,Shearer D.,5.993188892294165,2
Hunter J.,Khlif N.,6.001280132275046,2
Pailet E.,Stone W.,6.112523969955832,2
Fought T.,Taylor C.,6.180329449585354,2
Diamond C.,Dow G.,6.056123430255084,2
Finley R.,Prince J.,5.903018402072698,2
Bond G.,Shearer D.,5.876947965726058,2
Benitez J.,Delgado J.,6.054048749821511,2
Croyle A.,Gonzalez T.,5.904618841324408,2
Whitehead G.,Wilson Q.,5.892793137999821,2
Demeny S.,Stone J.,5.952729923139789,2
Haworth C.,Rahachou S.,5.932238124957978,2
Grollman J.,Navratil Z.,6.117265759834061,2
Eveloff R.,Joseph G.,5.918247308918603,2
Arnold J.,French B.,6.157223754818324,2
Navratil Z.,Newman R.,6.236056739650828,2
Bacalla D.,Campbell C.,5.898397474056601,2
Querrey S.,Taylor Z.,5.880017275506973,2
Auvergne S.,Long B.,6.183749734509693,2
Cincola J.,Deakin S.,6.062525692202125,2
Beasley N.,Russo E.,5.904300172945973,2
Anderson M.,Rosner E.,5.938388104588411,2
Cincola J.,Trinh T.,5.916479617583439,2
Holbrook T.,Key A.,5.86401666104541,2
McGuffin T.,Sock J.,5.903089554124693,2
Jensen D.,Newcombe R.,6.117598086670144,2
Estareja R.,Kawka P.,6.069878765390414,2
Angelo S.,Nemoff C.,5.990173827884197,2
Johnson Y.,Khlif N.,6.072890292947278,2
Duong Q.,Stone W.,6.19341164240668,2
Black N.,Pailet E.,5.998485901318206,2
Jakovljevic I.,Nemoff C.,6.0427576105288905,2
Koller A.,Smith S.,6.114515689925272,2
Castleberry C.,Mullane T.,5.935644458730975,2
Bass S.,Halski L.,5.973246502750656,2
Holder D.,Walker C.,5.835759999796217,2
A Gonzales Jr R.,Wild M.,5.868287978168421,2
Andrews J.,Brown M.,6.057910304806968,2
Fu R.,Goldberg J.,5.777147858130225,2
Duong Q.,Young D.,6.11910351316029,2
Cassidy R.,Jensen D.,6.049264604241495,2
Andrews J.,Cassidy R.,5.990492692491425,2
Bar D.,Newman R.,6.209019757554517,2
Alshon C.,Taylor C.,6.158809250933196,2
Newcombe R.,Wasson L.,5.937181380034396,2
Litvinov D.,Wade N.,5.958090732100464,2
Burrows W.,Warnick J.,6.020763702957788,2
Arnold J.,Tellez P.,6.167828981287612,2
Johnson C.,Prince J.,5.8703445548114015,2
Lui J.,Yaraghi A.,5.867766026890503,2
Seward K.,Venkatesan M.,5.876091453404945,2
Grabovic Z.,Legarreta A.,5.875084906594314,2
Diefenbach D.,Gilbert R.,5.861376014774129,2
Garza N.,Ortega K.,5.912875089341482,2
Manning J.,Petterson N.,5.891702053419128,2
Clemen A.,Gomez J.,5.895133871487112,2
Camron R.,Sherry R.,5.877999057285031,2
Johnston G.,Whittaker R.,5.888181690653142,2
Elliott J.,Matthews N.,5.898777103823717,2
Ferrer G.,Mendes V.,5.91122437081532,2
French B.,Newman R.,6.145166303345803,2
Khlif N.,Loong T.,6.248286514604507,2
Alshon C.,Emmrich M.,6.143392760853223,2
Oncins E.,Stone W.,6.052361047220019,2
Brown M.,Burrows W.,6.127274294837458,2
Dawson C.,Young D.,5.9182784157767,2
Nemoff C.,Taylor Z.,5.853234355886833,2
Brown M.,Grollman J.,6.059182478369444,2
Haworth C.,Holderman C.,5.847908530483304,2
Arnold J.,Navratil Z.,6.143288588389854,2
Deakin S.,Emmrich M.,6.1172254727087125,2
Hewett R.,Wilson T.,6.167401845186298,2
Burrows W.,Johnson H.,6.054227144981549,2
Cassidy R.,Fu R.,6.006885493955242,2
Pailet E.,Taylor Z.,5.909676142541023,2
Alhouni M.,Eveloff R.,6.010309510139807,2
Dow G.,Duong Q.,6.1439954804901005,2
Gilbert R.,MacKinnon W.,5.879711785792443,2
Barnett T.,Martin B.,5.888966237824853,2
Jauschneg E.,McCabe S.,5.913444412047378,2
Pututau J.,Stratton R.,5.887847643745474,2
Barrientos M.,Farias J.,6.031581896768915,2
Grollman J.,Pailet E.,5.986553887541406,2
Black N.,Rosenbach L.,5.9326663333849385,2
Palm D.,Wasson L.,5.844112311625369,2
Ali R.,Fung M.,5.9429766251462635,2
Nemoff C.,Weinbach D.,5.939531833212836,2
Bond G.,Jensen D.,5.887077549975169,2
Hutchins R.,Pailet E.,5.93700208219386,2
Jakovljevic I.,Trinh T.,5.893637580573411,2
Loong T.,Patriquin H.,6.145685140168969,2
Beasley N.,Duong Q.,5.873538371856207,2
Fought T.,Kawka P.,6.191899559200776,2
Diamond C.,Taylor C.,6.093851232241254,2
Livornese R.,Tomassi T.,6.101558391709799,2
Cincola J.,Goldberg J.,5.915405721417281,2
French B.,Khlif N.,6.1021404664689065,2
Newell B.,Tamaki K.,6.072185832645977,2
Deakin S.,Lange E.,6.098407298362356,2
Farias J.,Irizarry E.,6.021800421251358,2
Bellamy R.,Burrows W.,6.0925900300878935,2
Hong T.,Powell C.,5.98252031069047,2
Auvergne S.,Cincola J.,6.081251450547762,2
Attar S.,Wang J.,6.056480259981152,2
Brown M.,Young D.,6.03186719100593,2
Lee E.,Parks Z.,5.917189919163159,2
Harris J.,Jones H.,5.893528846775782,2
Dain T.,Holder D.,5.877003931881262,2
Larson B.,Lawhun A.,5.918008587668946,2
Garnett C.,Lohani A.,5.912833367270537,2
Pailet E.,Palm D.,5.9080885951914155,2
Bridge J.,Huynh A.,5.861422095372263,2
Yeh M.,Yi I.,6.02371356557605,2
Ignatowich J.,Staksrud F.,6.229598638495334,2
Kawka P.,Shick C.,6.208341490972024,2
Kawka P.,Loong T.,6.175793619118882,2
Howells W.,Klinger C.,6.190648573003641,2
Fought T.,Hewett R.,6.0531856744564525,2
Duong Q.,Loong T.,6.060885262203559,2
Acob Z.,Blocker C.,5.8840741416431435,2
Fu R.,Roddy E.,6.101967239729359,2
Franco M.,Zogbi G.,5.915452157397369,2
Alhouni M.,Pham C.,5.898802850083583,2
Dutrieuille D.,Lindquist J.,5.893253280424604,2
Forsythe E.,Neufeldt C.,5.903483640576725,2
Bomberg T.,Johnson M.,5.890761781308871,2
Alvarez J.,Irizarry E.,5.95852328869561,2
Read A.,Venkatesan M.,5.871621276296669,2
Alshon C.,Yates K.,6.1065168221326385,2
Ge A.,Jensen D.,5.926581181050641,2
Chassang D.,Crouch C.,5.9153656990635275,2
Hewett R.,Smith P.,5.9481775493858695,2
Narayanan S.,Zwiren N.,5.909074471238492,2
Grollman J.,Joseph G.,5.899150070390942,2
Arnold J.,Sock J.,6.093695182992523,2
Johnson C.,Nemoff C.,5.903118318215216,2
Forsythe E.,Yaraghi A.,5.897656372944879,2
Garza N.,Tamanaha W.,5.906557644284177,2
Andersen G.,Hall D.,5.91618663187034,2
Nemoff C.,Venkatesan M.,5.846202521680867,2
Bies P.,Jensen D.,5.992181300093176,2
Hammond B.,Whittaker R.,5.8949335054689955,2
Roddy E.,Shick C.,6.081002322391683,2
Amiri F.,Burrows W.,6.06964685883396,2
Hovenier B.,Trinh T.,6.076802054632983,2
Hewett R.,Vich J.,6.235486332283141,2
Nani F.,Nunez J.,6.041797146175867,2
Case C.,Wilson Q.,5.9020648014359685,2
Anderson M.,Ouye A.,5.922511881038845,2
Berke S.,Sigler D.,5.919263101662753,2
Lui J.,Morrow T.,6.017340610916619,2
Bellamy R.,Cincola J.,6.059351719407117,2
Hammond B.,Haworth C.,5.9277234083860115,2
Goldin G.,Neumann A.,6.0587620139676295,2
Loyd M.,Smith S.,6.166234267331594,2
Baca M.,Vance J.,5.851631012607614,2
Koller A.,Patriquin H.,6.132596497800748,2
Forsythe E.,Lui J.,5.854108291689017,2
Lohani A.,Venkatesan M.,6.0612020873843635,2
Caulfield K.,Slattery J.,5.921870379868934,2
Dawidjan R.,Wild J.,5.89889780402484,2
Narayanan S.,Shekar K.,6.077391924385912,2
Parks Z.,Reason J.,6.031099433022716,2
Mediratta N.,Weinbach D.,6.008698943598859,2
Klinger C.,Young D.,6.161988913969039,2
Case C.,Smith R.,6.035054911311996,2
Boydston C.,Schwend T.,5.839828193478879,2
Forsythe E.,Jensen D.,6.014033142749228,2
Diamond C.,Nemoff C.,6.0346550043414595,2
Brown M.,Dow G.,6.106261252903238,2
Kheireddin B.,Turmel P.,5.899888650411015,2
Bellamy R.,Munro J.,6.141916274847423,2
Grabovic Z.,Kawka P.,5.9097639339710195,2
Hall D.,Whitehead G.,6.004543314980042,2
Gingrich D.,Merchant A.,5.909999999999999,2
Bond G.,Seward K.,6.014435671416826,2
Barrientos M.,Neumann A.,5.8634875891714895,2
Alhouni M.,Whittaker R.,6.022628357179263,2
Brown M.,Dobran J.,6.028539407262505,2
Slutsky R.,Wasson L.,6.034085576096087,2
Hammond B.,Nix J.,5.989600590941752,2
Merchant A.,Roddy E.,6.0495560055919375,2
Farias J.,Nsekpong B.,6.048433633083905,2
Bond G.,Querrey S.,6.010030545328694,2
Barrientos M.,Garnett C.,6.015099181658986,2
Cassidy R.,Mcmakin K.,5.897161698301718,2
Beasley N.,Payetta L.,5.90737179515026,2
Barrientos M.,Lane B.,5.933165581853934,2
Marceau M.,Mcauley D.,5.940450482778344,2
Estareja R.,Kellogg C.,5.9530746509399695,2
Newman R.,Parks T.,5.917865712340744,2
Davison J.,Reason J.,5.929359462788882,2
Burl C.,Presser J.,5.969705661515054,2
Inn R.,Santini E.,5.892666842825319,2
